Month,Coef,Intercept
Jan,0.21144677178800286,12.472610227554616
Feb,0.21091384728103246,12.730435536531399
Mar,0.22471962353117406,13.41588325831782
Apr,0.2107077786695769,14.3462475080936
May,0.18881919215495221,15.259986788073725
Jun,0.19178257108023722,15.954949324507371
Jul,0.20584035813683513,16.232838047851377
Aug,0.20691804506268374,16.10944714050945
Sep,0.22656098806998956,15.455571187809799
Oct,0.24356688226029674,14.462278506585024
Nov,0.2271956932938838,13.387058395206756
Dec,0.19279769233730873,12.695029516186583
