state,abbreviation,cmi
Alabama,AL,0.7598
Arizona,AZ,-8.0766
Arkansas,AR,0.9459
California,CA,-5.1818
Colorado,CO,-5.1859
Connecticut,CT,3.4993
Delaware,DE,3.3813
D.C.,DC,1.49
Florida,FL,0.0592
Georgia,GA,-0.6336
Idaho,ID,-3.3326
Illinois,IL,1.2953
Indiana,IN,2.0928
Iowa,IA,0.8257
Kansas,KS,-3.6035
Kentucky,KY,2.3009
Louisiana,LA,1.5747
Maine,ME,4.4149
Maryland,MD,2.9627
Massachusetts,MA,4.0059
Michigan,MI,2.5765
Minnesota,MN,0.8017
Mississippi,MS,1.0259
Missouri,MO,0.4614
Montana,MT,-3.8426
Nebraska,NE,-3.7498
Nevada,NV,-7.6294
New Hampshire,NH,3.8941
New Jersey,NJ,2.9823
New Mexico,NM,-7.198
New York,NY,4.4846
North Carolina,NC,1.787
North Dakota,ND,-2.7003
Ohio,OH,2.6597
Oklahoma,OK,-3.0782
Oregon,OR,-2.0358
Pennsylvania,PA,3.4062
Rhode Island,RI,3.813
South Carolina,SC,0.1335
South Dakota,SD,-3.5148
Tennessee,TN,2.1064
Texas,TX,-4.8321
Utah,UT,-6.8201
Vermont,VT,4.3213
Virginia,VA,1.5142
Washington,WA,0.681
West Virginia,WV,3.4615
Wisconsin,WI,1.614
Wyoming,WY,-4.6457
